"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000071219",252.975596923851,1.77617327695054,0.372144015500611,4.77281160778903,1.81671714041877e-06,0.000444627757108855,320.713856878217,549.942067559881,304.36734392858,133.986103914409,110.338501811457,98.5057074505603,"Cd4"
"ENSRNOG00000054251",93.8003412757145,2.38568178454345,0.501253405485056,4.75943257130563,1.94137966913441e-06,0.000468046355157137,240.535392658663,150.823664050938,81.2850473399768,34.7072437850577,24.0587710716711,31.3919287479808,"Clec7a"
"ENSRNOG00000019728",124.30139486328,3.00996799930575,0.637515893901873,4.72140071815849,2.3422595685212e-06,0.000556389982504749,338.207339980665,260.606875298899,65.0280378719815,41.164405419487,22.3995454805214,18.4021651281267,"Itgad"
"ENSRNOG00000004084",436.149138657332,-2.25980132787448,0.482176724671487,-4.68666613763679,2.77691409659802e-06,0.000650079614526779,125.369962234212,161.083777251682,165.279596257953,527.872963614598,1241.10074218,396.18779040555,"Lratd1"
"ENSRNOG00000007200",63.1388023880219,4.1070921488059,0.876944458678676,4.68341194035733,2.82138693742611e-06,0.000651055188574913,55.3960298244193,279.075079060238,23.4823470093266,8.07145204303666,4.14806397787433,8.65984241323607,"Ikzf3"
"ENSRNOG00000056783",28.4484896576618,3.52922626000263,0.75481582840262,4.67561241723211,2.93077673771124e-06,0.000666772347102108,34.9869662048964,90.2889961665477,31.6108517433243,5.65001643012566,1.65922559114973,6.49488180992706,"Cd69"
"ENSRNOG00000056376",487.653189843186,1.70828701562107,0.365860159835,4.66923486938696,3.02323587893127e-06,0.000678254571560788,986.924005029787,729.494048572902,523.836971746517,180.800525764021,222.336229214064,282.527358731827,"Dusp22"
"ENSRNOG00000003622",276.253160493347,1.8469095545421,0.395840543787717,4.66579177784417,3.07430902957837e-06,0.00068026457198328,610.81411832715,418.612618590357,268.240656221923,125.107506667068,131.908434496404,102.835628657178,"Cybb"
"ENSRNOG00000022957",35.9377564809563,5.94809518668607,1.27888385551629,4.65100498456508,3.30321343769783e-06,0.000721037927826121,91.8407862878531,3.07803396022322,117.411735046633,0.807145204303666,2.4888383867246,0,"Ctxn3"
"ENSRNOG00000003840",228.256630456484,2.95714793825881,0.637217913104157,4.64071689989583,3.47202522890371e-06,0.000747781646966423,173.477040765945,782.846637216771,256.49948271726,49.2358574625237,27.3772222539706,80.1035423224337,"Slit2"
"ENSRNOG00000021011",40.4722928007814,-2.59963701139094,0.56064452937136,-4.63687216266225,3.53721025308341e-06,0.00075179680550074,14.5779025853735,9.23410188066965,10.8380063119969,48.42871225822,54.7544445079411,105.000589260487,"Fut2"
"ENSRNOG00000018267",39.6536372187458,2.77790624965498,0.602652609410266,4.60946523134338,4.03706037318761e-06,0.000846891379325967,72.8895129268676,95.4190527669197,39.739356477322,15.3357588817697,9.12574075132352,5.41240150827255,"B3gnt7"
"ENSRNOG00000008409",189.319462878063,2.17769231521125,0.473462369800179,4.59950453112109,4.23496981807719e-06,0.000855093343392511,287.184680931858,485.303354395194,158.054258716622,77.485939613152,70.5170876238636,57.371455987689,"Myo1f"
"ENSRNOG00000010259",62.2764453335118,4.25105341818093,0.923472843557506,4.6033334362108,4.1578174647642e-06,0.000855093343392511,23.3246441365976,267.78895453942,64.1248706793151,12.107178064555,4.14806397787433,2.16496060330902,"Esrrb"
"ENSRNOG00000058249",808.951769615339,-1.53354675804031,0.333394840138149,-4.59979151868353,4.22913978952747e-06,0.000855093343392511,360.074193858726,332.427667704107,552.738321911842,1385.8683157894,986.409613938515,1236.19250448945,"Pgk1"
